ranking,municipio,uf,area urbana km²
468,Gramado,Rio Grande do Sul,20.1621
469,Xanxerê,Santa Catarina,20.1463
470,Sapiranga,Rio Grande do Sul,20.1252
471,Piripiri,Piauí,20.0969
472,Alegrete,Rio Grande do Sul,20.0256
473,Canela,Rio Grande do Sul,19.9955
474,Pirapora,Minas Gerais,19.9844
475,Horizonte,Ceará,19.9622
476,Francisco Morato,São Paulo,19.9368
477,Taquara,Rio Grande do Sul,19.9304
478,Itaperuna,Rio de Janeiro,19.9217
479,Penápolis,São Paulo,19.9172
480,Itacoatiara,Amazonas,19.8693
481,Lorena,São Paulo,19.828
482,Aracati,Ceará,19.8259
483,Conde,Paraíba,19.8127
484,Estância,Sergipe,19.7564
485,Oriximiná,Pará,19.7324
486,São Sebastião do Paraíso,Minas Gerais,19.7157
487,Santa Inês,Maranhão,19.6721
488,Nova Odessa,São Paulo,19.6365
489,Itajubá,Minas Gerais,19.5058
490,Várzea Paulista,São Paulo,19.4947
491,Iguatu,Ceará,19.4588
492,Tupã,São Paulo,19.4398
493,São Lourenço da Mata,Pernambuco,19.412
494,Campo Novo do Parecis,Mato Grosso,19.3415
495,Igarapé,Minas Gerais,19.3249
496,Salinópolis,Pará,19.2688
497,Floriano,Piauí,19.1155
498,Santo Estêvão,Bahia,19.043
499,Abreu e Lima,Pernambuco,18.9961
500,Monte Mor,São Paulo,18.9921
501,Santana,Amapá,18.9743
502,Paracatu,Minas Gerais,18.9494
503,Teutônia,Rio Grande do Sul,18.949
504,Patos,Paraíba,18.9321
505,Codó,Maranhão,18.9259
506,Tianguá,Ceará,18.8844
507,Nova Serrana,Minas Gerais,18.7957
508,Pedro Leopoldo,Minas Gerais,18.783
509,São Borja,Rio Grande do Sul,18.7755
510,Dias d'Ávila,Bahia,18.7195
511,São Félix do Xingu,Pará,18.6927
512,Armação dos Búzios,Rio de Janeiro,18.6917
513,Mirassol,São Paulo,18.6553
514,Barra Velha,Santa Catarina,18.6543
515,Braço do Norte,Santa Catarina,18.6149
516,Taboão da Serra,São Paulo,18.6092
517,Paracuru,Ceará,18.6007
518,Conceição do Coité,Bahia,18.5705
519,Serra do Ramalho,Bahia,18.3722
520,São Gabriel,Rio Grande do Sul,18.3058
521,Paraty,Rio de Janeiro,18.2792
522,Ibiporã,Paraná,18.2711
523,Medianeira,Paraná,18.2538
524,Formiga,Minas Gerais,18.2537
525,Viçosa,Minas Gerais,18.227
526,Nova Petrópolis,Rio Grande do Sul,18.1868
527,Guaxupé,Minas Gerais,18.1444
528,Estância Velha,Rio Grande do Sul,18.1386
529,Cidade Ocidental,Goiás,18.1297
530,Timóteo,Minas Gerais,18.1272
531,Santo Antônio do Descoberto,Goiás,18.1245
532,Itaporanga d'Ajuda,Sergipe,18.1063
533,Imbé,Rio Grande do Sul,18.0855
534,Alfenas,Minas Gerais,17.9992
535,Paraíso do Tocantins,Tocantins,17.9521
536,Ferraz de Vasconcelos,São Paulo,17.9475
537,Hidrolândia,Goiás,17.7946
538,Parintins,Amazonas,17.7885
539,Guararema,São Paulo,17.7772
540,Nova Viçosa,Bahia,17.7602
541,Olímpia,São Paulo,17.734
542,Januária,Minas Gerais,17.6804
543,Capitão Poço,Pará,17.645
544,Barreirinhas,Maranhão,17.6393
545,Guaramirim,Santa Catarina,17.6213
546,Muriaé,Minas Gerais,17.6069
547,Bom Despacho,Minas Gerais,17.5933
548,Candeias,Bahia,17.5462
549,Belterra,Pará,17.5266
550,São Miguel do Oeste,Santa Catarina,17.4904
551,Pinheiro,Maranhão,17.4584
552,Bom Jesus da Lapa,Bahia,17.4171
553,Garopaba,Santa Catarina,17.2528
554,Batatais,São Paulo,17.2222
555,Cabreúva,São Paulo,17.2058
556,Ibitinga,São Paulo,17.1609
557,Belo Jardim,Pernambuco,17.1429
558,Capanema,Pará,17.1411
559,Arroio do Meio,Rio Grande do Sul,17.1213
560,São Gabriel da Cachoeira,Amazonas,17.1093
561,Caratinga,Minas Gerais,17.0926
562,Salgueiro,Pernambuco,17.0792
563,Tabatinga,Amazonas,17.0205
564,Salto de Pirapora,São Paulo,17.001
565,Videira,Santa Catarina,16.9633
566,Garibaldi,Rio Grande do Sul,16.9401
567,Santiago,Rio Grande do Sul,16.937
568,Mongaguá,São Paulo,16.9253
569,Mata de São João,Bahia,16.9241
570,Araripina,Pernambuco,16.889
571,Camaquã,Rio Grande do Sul,16.8876
572,Senhor do Bonfim,Bahia,16.8617
573,Porangatu,Goiás,16.8278
574,Três Rios,Rio de Janeiro,16.8194
575,Pederneiras,São Paulo,16.7711
576,Palotina,Paraná,16.729
577,Itatiaia,Rio de Janeiro,16.6565
578,Porto Ferreira,São Paulo,16.6404
579,Santa Isabel,São Paulo,16.6304
580,São Gonçalo dos Campos,Bahia,16.595
581,Paudalho,Pernambuco,16.5676
582,Naviraí,Mato Grosso do Sul,16.5364
583,Capivari,São Paulo,16.41
584,Xinguara,Pará,16.3999
585,Acaraú,Ceará,16.3326
586,Assu,Rio Grande do Norte,16.3237
587,Penedo,Alagoas,16.3004
588,Santa Vitória do Palmar,Rio Grande do Sul,16.2879
589,Andradina,São Paulo,16.2846
590,Guajará-Mirim,Rondônia,16.2831
591,Rio Largo,Alagoas,16.2729
592,Campo Formoso,Bahia,16.2605
593,Prudentópolis,Paraná,16.2508
594,Balneário Camboriú,Santa Catarina,16.1643
595,Seabra,Bahia,16.0711
596,Pacajus,Ceará,16.0586
597,Rio Bonito,Rio de Janeiro,16.0392
598,Laguna,Santa Catarina,16.0384
599,Viçosa do Ceará,Ceará,16.0259
600,Chapadinha,Maranhão,15.9922
601,Presidente Epitácio,São Paulo,15.9837
602,Novo Progresso,Pará,15.9817
603,Colniza,Mato Grosso,15.9771
604,Sousa,Paraíba,15.9683
605,Palmas,Paraná,15.9488
606,Frutal,Minas Gerais,15.9068
607,Panambi,Rio Grande do Sul,15.9024
608,Curuçá,Pará,15.8659
609,Portão,Rio Grande do Sul,15.8548
610,Jaru,Rondônia,15.844
611,Santo Antônio de Jesus,Bahia,15.7516
612,Delmiro Gouveia,Alagoas,15.7369
613,Rio Negrinho,Santa Catarina,15.726
614,São José do Rio Pardo,São Paulo,15.7054
615,Assis Chateaubriand,Paraná,15.6713
616,Campo Verde,Mato Grosso,15.658
617,Viseu,Pará,15.6536
618,Coronel Fabriciano,Minas Gerais,15.65
619,Tutóia,Maranhão,15.64
620,Registro,São Paulo,15.6255
621,Tijucas,Santa Catarina,15.56
622,Viana,Espírito Santo,15.5561
623,Cruzeiro,São Paulo,15.5407
624,Aquidauana,Mato Grosso do Sul,15.5332
625,Santa Luzia,Maranhão,15.5318
626,Louveira,São Paulo,15.5304
627,Itapema,Santa Catarina,15.5303
628,Santa Izabel do Pará,Pará,15.5156
629,Vitória de Santo Antão,Pernambuco,15.5025
630,Manacapuru,Amazonas,15.502
631,Janaúba,Minas Gerais,15.4873
632,Campina Grande do Sul,Paraná,15.4788
